tier,oracle,algorithm,seed,status,checked,n_mismatches_sampled,max_abs_error,examples,path
medium,hba,gpbo,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/gpbo/seed_0/results_gp_bo_hba_0.yaml
medium,hba,gpbo,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/gpbo/seed_1/results_gp_bo_hba_1.yaml
medium,hba,gpbo,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/gpbo/seed_2/results_gp_bo_hba_2.yaml
medium,hba,graph_ga,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/graph_ga/seed_0/results_graph_ga_hba_0.yaml
medium,hba,graph_ga,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/graph_ga/seed_1/results_graph_ga_hba_1.yaml
medium,hba,graph_ga,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/graph_ga/seed_2/results_graph_ga_hba_2.yaml
medium,hba,graph_mcts,0,ok,1000,0,0.0,-,oracle_benchmark_results/medium/hba/graph_mcts/seed_0/results_graph_mcts_hba_0.yaml
medium,hba,graph_mcts,1,ok,1000,0,0.0,-,oracle_benchmark_results/medium/hba/graph_mcts/seed_1/results_graph_mcts_hba_1.yaml
medium,hba,graph_mcts,2,ok,1000,0,0.0,-,oracle_benchmark_results/medium/hba/graph_mcts/seed_2/results_graph_mcts_hba_2.yaml
medium,hba,mimosa,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/mimosa/seed_0/results_mimosa_hba_0.yaml
medium,hba,mimosa,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/mimosa/seed_1/results_mimosa_hba_1.yaml
medium,hba,mimosa,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/mimosa/seed_2/results_mimosa_hba_2.yaml
medium,hba,moldqn,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/moldqn/seed_0/results_moldqn_hba_0.yaml
medium,hba,moldqn,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/moldqn/seed_1/results_moldqn_hba_1.yaml
medium,hba,moldqn,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/moldqn/seed_2/results_moldqn_hba_2.yaml
medium,hba,reinvent,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent/seed_0/results_reinvent_hba_0.yaml
medium,hba,reinvent,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent/seed_1/results_reinvent_hba_1.yaml
medium,hba,reinvent,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent/seed_2/results_reinvent_hba_2.yaml
medium,hba,reinvent_selfies,0,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent_selfies/seed_0/results_reinvent_selfies_hba_0.yaml
medium,hba,reinvent_selfies,1,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent_selfies/seed_1/results_reinvent_selfies_hba_1.yaml
medium,hba,reinvent_selfies,2,ok,1001,0,0.0,-,oracle_benchmark_results/medium/hba/reinvent_selfies/seed_2/results_reinvent_selfies_hba_2.yaml
medium,hba,screening,0,ok,1000,0,0.0,-,oracle_benchmark_results/medium/hba/screening/seed_0/results_screening_hba_0.yaml
